#dataPath	labelPath
0000_data.imf	0000_labels.imf
0091_data.imf	0091_labels.imf
0092_data.imf	0092_labels.imf
0093_data.imf	0093_labels.imf
0094_data.imf	0094_labels.imf
0095_data.imf	0095_labels.imf
0096_data.imf	0096_labels.imf
0097_data.imf	0097_labels.imf
0098_data.imf	0098_labels.imf
0099_data.imf	0099_labels.imf
0100_data.imf	0100_labels.imf
0101_data.imf	0101_labels.imf
0102_data.imf	0102_labels.imf
0103_data.imf	0103_labels.imf
0104_data.imf	0104_labels.imf
0105_data.imf	0105_labels.imf
0106_data.imf	0106_labels.imf
0107_data.imf	0107_labels.imf
0108_data.imf	0108_labels.imf
0109_data.imf	0109_labels.imf
0110_data.imf	0110_labels.imf
0111_data.imf	0111_labels.imf
0112_data.imf	0112_labels.imf
0113_data.imf	0113_labels.imf
0114_data.imf	0114_labels.imf
0115_data.imf	0115_labels.imf
0116_data.imf	0116_labels.imf
0117_data.imf	0117_labels.imf
0118_data.imf	0118_labels.imf
0119_data.imf	0119_labels.imf
0120_data.imf	0120_labels.imf
0121_data.imf	0121_labels.imf
0122_data.imf	0122_labels.imf
0123_data.imf	0123_labels.imf
0124_data.imf	0124_labels.imf
0125_data.imf	0125_labels.imf
0126_data.imf	0126_labels.imf
0127_data.imf	0127_labels.imf
0128_data.imf	0128_labels.imf
0129_data.imf	0129_labels.imf
0130_data.imf	0130_labels.imf
0131_data.imf	0131_labels.imf
0132_data.imf	0132_labels.imf
0133_data.imf	0133_labels.imf
0134_data.imf	0134_labels.imf
0135_data.imf	0135_labels.imf
0136_data.imf	0136_labels.imf
0138_data.imf	0138_labels.imf
0139_data.imf	0139_labels.imf
0140_data.imf	0140_labels.imf
0141_data.imf	0141_labels.imf
0142_data.imf	0142_labels.imf
0143_data.imf	0143_labels.imf
0144_data.imf	0144_labels.imf
0145_data.imf	0145_labels.imf
0146_data.imf	0146_labels.imf
0147_data.imf	0147_labels.imf
0148_data.imf	0148_labels.imf
0149_data.imf	0149_labels.imf
0150_data.imf	0150_labels.imf
0151_data.imf	0151_labels.imf
0152_data.imf	0152_labels.imf
0153_data.imf	0153_labels.imf
0154_data.imf	0154_labels.imf
0155_data.imf	0155_labels.imf
0156_data.imf	0156_labels.imf
0157_data.imf	0157_labels.imf
0158_data.imf	0158_labels.imf
0159_data.imf	0159_labels.imf
0160_data.imf	0160_labels.imf
0161_data.imf	0161_labels.imf
0162_data.imf	0162_labels.imf
0163_data.imf	0163_labels.imf
0164_data.imf	0164_labels.imf
0165_data.imf	0165_labels.imf
0166_data.imf	0166_labels.imf
0168_data.imf	0168_labels.imf
0169_data.imf	0169_labels.imf
0170_data.imf	0170_labels.imf
0171_data.imf	0171_labels.imf
0172_data.imf	0172_labels.imf
0173_data.imf	0173_labels.imf
0174_data.imf	0174_labels.imf
0175_data.imf	0175_labels.imf
0176_data.imf	0176_labels.imf
0177_data.imf	0177_labels.imf
0178_data.imf	0178_labels.imf
0179_data.imf	0179_labels.imf
0180_data.imf	0180_labels.imf
0181_data.imf	0181_labels.imf
0182_data.imf	0182_labels.imf
0183_data.imf	0183_labels.imf
0184_data.imf	0184_labels.imf
0185_data.imf	0185_labels.imf
0186_data.imf	0186_labels.imf
0187_data.imf	0187_labels.imf
0188_data.imf	0188_labels.imf
0189_data.imf	0189_labels.imf
0190_data.imf	0190_labels.imf
0191_data.imf	0191_labels.imf
0192_data.imf	0192_labels.imf
0193_data.imf	0193_labels.imf
0194_data.imf	0194_labels.imf
0195_data.imf	0195_labels.imf
0196_data.imf	0196_labels.imf
0197_data.imf	0197_labels.imf
0198_data.imf	0198_labels.imf
0199_data.imf	0199_labels.imf
0200_data.imf	0200_labels.imf
0201_data.imf	0201_labels.imf
0202_data.imf	0202_labels.imf
0203_data.imf	0203_labels.imf
0204_data.imf	0204_labels.imf
0205_data.imf	0205_labels.imf
0206_data.imf	0206_labels.imf
0207_data.imf	0207_labels.imf
0208_data.imf	0208_labels.imf
0209_data.imf	0209_labels.imf
0210_data.imf	0210_labels.imf
0211_data.imf	0211_labels.imf
0212_data.imf	0212_labels.imf
0213_data.imf	0213_labels.imf
0214_data.imf	0214_labels.imf
0215_data.imf	0215_labels.imf
0216_data.imf	0216_labels.imf
0217_data.imf	0217_labels.imf
0218_data.imf	0218_labels.imf
0219_data.imf	0219_labels.imf
0220_data.imf	0220_labels.imf
0221_data.imf	0221_labels.imf
0222_data.imf	0222_labels.imf
0223_data.imf	0223_labels.imf
0224_data.imf	0224_labels.imf
0225_data.imf	0225_labels.imf
0226_data.imf	0226_labels.imf
0227_data.imf	0227_labels.imf
0228_data.imf	0228_labels.imf
0229_data.imf	0229_labels.imf
0230_data.imf	0230_labels.imf
0232_data.imf	0232_labels.imf
0233_data.imf	0233_labels.imf
0234_data.imf	0234_labels.imf
0235_data.imf	0235_labels.imf
0236_data.imf	0236_labels.imf
0237_data.imf	0237_labels.imf
0238_data.imf	0238_labels.imf
0239_data.imf	0239_labels.imf
0240_data.imf	0240_labels.imf
0241_data.imf	0241_labels.imf
0242_data.imf	0242_labels.imf
0243_data.imf	0243_labels.imf
0244_data.imf	0244_labels.imf
0245_data.imf	0245_labels.imf
0246_data.imf	0246_labels.imf
0247_data.imf	0247_labels.imf
0248_data.imf	0248_labels.imf
0249_data.imf	0249_labels.imf
0250_data.imf	0250_labels.imf
0251_data.imf	0251_labels.imf
0252_data.imf	0252_labels.imf
0253_data.imf	0253_labels.imf
0254_data.imf	0254_labels.imf
0255_data.imf	0255_labels.imf
0256_data.imf	0256_labels.imf
0257_data.imf	0257_labels.imf
0258_data.imf	0258_labels.imf
0259_data.imf	0259_labels.imf
0260_data.imf	0260_labels.imf
0261_data.imf	0261_labels.imf
0262_data.imf	0262_labels.imf
0263_data.imf	0263_labels.imf
0264_data.imf	0264_labels.imf
0265_data.imf	0265_labels.imf
0266_data.imf	0266_labels.imf
0267_data.imf	0267_labels.imf
0268_data.imf	0268_labels.imf
0269_data.imf	0269_labels.imf
0270_data.imf	0270_labels.imf
0271_data.imf	0271_labels.imf
0272_data.imf	0272_labels.imf
0273_data.imf	0273_labels.imf
0274_data.imf	0274_labels.imf
0275_data.imf	0275_labels.imf
0276_data.imf	0276_labels.imf
0277_data.imf	0277_labels.imf
0278_data.imf	0278_labels.imf
0279_data.imf	0279_labels.imf
0280_data.imf	0280_labels.imf
0281_data.imf	0281_labels.imf
0283_data.imf	0283_labels.imf
0284_data.imf	0284_labels.imf
0285_data.imf	0285_labels.imf
0286_data.imf	0286_labels.imf
0287_data.imf	0287_labels.imf
0288_data.imf	0288_labels.imf
0289_data.imf	0289_labels.imf
0290_data.imf	0290_labels.imf
0291_data.imf	0291_labels.imf
0292_data.imf	0292_labels.imf
0293_data.imf	0293_labels.imf
0294_data.imf	0294_labels.imf
0295_data.imf	0295_labels.imf
0296_data.imf	0296_labels.imf
0297_data.imf	0297_labels.imf
0298_data.imf	0298_labels.imf
0299_data.imf	0299_labels.imf
0300_data.imf	0300_labels.imf
0301_data.imf	0301_labels.imf
0302_data.imf	0302_labels.imf
0303_data.imf	0303_labels.imf
0304_data.imf	0304_labels.imf
0305_data.imf	0305_labels.imf
0306_data.imf	0306_labels.imf
0307_data.imf	0307_labels.imf
0308_data.imf	0308_labels.imf
0309_data.imf	0309_labels.imf
0310_data.imf	0310_labels.imf
0311_data.imf	0311_labels.imf
0312_data.imf	0312_labels.imf
0313_data.imf	0313_labels.imf
0315_data.imf	0315_labels.imf
0316_data.imf	0316_labels.imf
0317_data.imf	0317_labels.imf
0318_data.imf	0318_labels.imf
0319_data.imf	0319_labels.imf
0320_data.imf	0320_labels.imf
0321_data.imf	0321_labels.imf
0322_data.imf	0322_labels.imf
0323_data.imf	0323_labels.imf
0324_data.imf	0324_labels.imf
0325_data.imf	0325_labels.imf
0326_data.imf	0326_labels.imf
0327_data.imf	0327_labels.imf
0328_data.imf	0328_labels.imf
0329_data.imf	0329_labels.imf
0330_data.imf	0330_labels.imf
0331_data.imf	0331_labels.imf
0332_data.imf	0332_labels.imf
0333_data.imf	0333_labels.imf
0334_data.imf	0334_labels.imf
0335_data.imf	0335_labels.imf
0337_data.imf	0337_labels.imf
0338_data.imf	0338_labels.imf
0339_data.imf	0339_labels.imf
0340_data.imf	0340_labels.imf
0341_data.imf	0341_labels.imf
0342_data.imf	0342_labels.imf
0343_data.imf	0343_labels.imf
0344_data.imf	0344_labels.imf
0345_data.imf	0345_labels.imf
0346_data.imf	0346_labels.imf
0347_data.imf	0347_labels.imf
0348_data.imf	0348_labels.imf
0349_data.imf	0349_labels.imf
0350_data.imf	0350_labels.imf
0351_data.imf	0351_labels.imf
0352_data.imf	0352_labels.imf
0353_data.imf	0353_labels.imf
0354_data.imf	0354_labels.imf
0355_data.imf	0355_labels.imf
0356_data.imf	0356_labels.imf
0357_data.imf	0357_labels.imf
0358_data.imf	0358_labels.imf
0360_data.imf	0360_labels.imf
0361_data.imf	0361_labels.imf
0362_data.imf	0362_labels.imf
0363_data.imf	0363_labels.imf
0364_data.imf	0364_labels.imf
0365_data.imf	0365_labels.imf
0366_data.imf	0366_labels.imf
0367_data.imf	0367_labels.imf
0368_data.imf	0368_labels.imf
0369_data.imf	0369_labels.imf
0370_data.imf	0370_labels.imf
0371_data.imf	0371_labels.imf
0372_data.imf	0372_labels.imf
0373_data.imf	0373_labels.imf
0374_data.imf	0374_labels.imf
0375_data.imf	0375_labels.imf
0376_data.imf	0376_labels.imf
0377_data.imf	0377_labels.imf
0378_data.imf	0378_labels.imf
0379_data.imf	0379_labels.imf
0380_data.imf	0380_labels.imf
0381_data.imf	0381_labels.imf
0382_data.imf	0382_labels.imf
0383_data.imf	0383_labels.imf
0384_data.imf	0384_labels.imf
0385_data.imf	0385_labels.imf
0386_data.imf	0386_labels.imf
0387_data.imf	0387_labels.imf
0388_data.imf	0388_labels.imf
0389_data.imf	0389_labels.imf
0390_data.imf	0390_labels.imf
0391_data.imf	0391_labels.imf
0392_data.imf	0392_labels.imf
0393_data.imf	0393_labels.imf
0394_data.imf	0394_labels.imf
0395_data.imf	0395_labels.imf
0396_data.imf	0396_labels.imf
0397_data.imf	0397_labels.imf
0398_data.imf	0398_labels.imf
0399_data.imf	0399_labels.imf
0400_data.imf	0400_labels.imf
0401_data.imf	0401_labels.imf
0402_data.imf	0402_labels.imf
0403_data.imf	0403_labels.imf
0404_data.imf	0404_labels.imf
0405_data.imf	0405_labels.imf
0406_data.imf	0406_labels.imf
0407_data.imf	0407_labels.imf
0409_data.imf	0409_labels.imf
0410_data.imf	0410_labels.imf
0411_data.imf	0411_labels.imf
0412_data.imf	0412_labels.imf
0413_data.imf	0413_labels.imf
0414_data.imf	0414_labels.imf
0415_data.imf	0415_labels.imf
0416_data.imf	0416_labels.imf
0417_data.imf	0417_labels.imf
0418_data.imf	0418_labels.imf
0419_data.imf	0419_labels.imf
0420_data.imf	0420_labels.imf
0421_data.imf	0421_labels.imf
0422_data.imf	0422_labels.imf
0423_data.imf	0423_labels.imf
0424_data.imf	0424_labels.imf
0425_data.imf	0425_labels.imf
0426_data.imf	0426_labels.imf
0427_data.imf	0427_labels.imf
0428_data.imf	0428_labels.imf
0429_data.imf	0429_labels.imf
0430_data.imf	0430_labels.imf
0431_data.imf	0431_labels.imf
0432_data.imf	0432_labels.imf
0433_data.imf	0433_labels.imf
0434_data.imf	0434_labels.imf
0435_data.imf	0435_labels.imf
0436_data.imf	0436_labels.imf
0437_data.imf	0437_labels.imf
0438_data.imf	0438_labels.imf
0439_data.imf	0439_labels.imf
0440_data.imf	0440_labels.imf
0441_data.imf	0441_labels.imf
0442_data.imf	0442_labels.imf
0443_data.imf	0443_labels.imf
0444_data.imf	0444_labels.imf
0445_data.imf	0445_labels.imf
0446_data.imf	0446_labels.imf
